Dhoni
Virat
Sachin
Ravindra Jadeja
Deepak Chahar
Moeen Ali
Ambati Rayudu
Ruturaj Gaikwad
Dwayne	
Shivam Dube
Robin Uthappa
Tushar Deshpande
KM Asif
Rajvardhan Hangargekar
Simarjeet Singh
Devon Conway
Dwaine Pretorius
Mitchell Santner
Adam Milne
Subhranshu Senapati
Mukesh Choudhary
Prashant Solanki
C Hari Nishaanth
N Jagadeesan
Chris Jordan
K Bhagath Varma
M Theekshana
Rishabh Pant
Shardul Thakur
Axar Patel
Prithvi Shaw
Mitchell Marsh
Anrich Nortje
David Warner
Khaleel Ahmed
Chetan Sakariya
Srikar Bharat
Kuldeep Yadav
Mustafizur Rahman
Mandeep Singh
Kamlesh Nagarkoti
Ashwin Hebbar
Sarfaraz Khan
Lalit Yadav
Ripal Patel
Yash Dhull
Rovman Powell
Pravin Dubey
Lungisani Ngidi
Tim Seifert
Vicky Ostwal
Rashid Khan
Hardik Pandya
Lockie Ferguson
Rahul Tewatia
Shubman Gill
Mohammed Shami
Ravisrinivasan Sai Kishore
Abhinav Manohar
Jason Roy
Jayant Yadav
Vijay Shankar
Dominic Drakes
Noor Ahmad
Darshan Nalkande
Yash Dayal
Alzarri Joseph
Pradeep Sangwan
David Miller
Shreyas Iyer
Andre Russell
Nitish Rana
Venkatesh Iyer
Varun Chakaravarthy
Shivam Mavi
Pat Cummins
Sunil Narine
Ajinkya Rahane
Sheldon Jackson
Anukul Roy
Rasikh Dar
Baba Indrajith
Chamika Karunaratne
Abhijeet Tomar
Pratham Singh
Ashok Sharma
Sam Billings
Alex Hales
Tim Southee
Ramesh Kumar
Mohammad Nabi
Umesh Yadav
Aman Khan
Wriddhiman Saha
Matthew Wade
Gurkeerat Singh
Varun Aaron
KL Rahul
Avesh Khan
Marcus Stoinis
Jason Holder
Krunal Pandya
Mark Wood
Quinton de Kock
Deepak Hooda
Manish Pandey
Ravi Bishnoi
Dushmantha Chameera
Krishnappa Gowtham
Ankit Rajpoot
Mohsin Khan
Ayush Badoni
Kyle Mayers
Karan Sharma
Evin Lewis
Mayank Yadav
Rvohit Sharma
Ishan Kishan
Jasprit Bumrah
Kieron Pollard
Dewald Brevis
Murugan Ashwin
Basil Thampi
Tilak Varma
Sanjay Yadav
Daniel Sams
Jofra Archer{"winner":"KKR","flag":"fff"}
Tymal Mills
Tim David
Riley Meredith
Mohd. Arshad Khan
Anmolpreet Singh
Ramandeep Singh
Rahul Buddhi
Hrithik Shokeen
Arjun Tendulkar
Aryan Juyal
Fabian Allen
Suryakumar Yadav

